ind	alt	id	set	choice	brand1	brand2	cap1	cap2	price1	price2	filter	therm	ch
1	1	1	1	3	1	0	0	1	0	1	1	0	0
1	2	1	1	3	0	1	0	0	0	1	1	1	0
1	3	1	1	3	1	0	1	0	0	1	1	0	1
2	1	1	2	3	0	1	1	0	0	1	0	0	0
2	2	1	2	3	0	0	0	1	0	1	1	1	0
2	3	1	2	3	1	0	1	0	0	1	1	0	1
3	1	1	3	3	0	1	0	1	1	0	0	0	0
3	2	1	3	3	0	1	0	1	0	0	1	1	0
3	3	1	3	3	1	0	1	0	0	1	1	0	1
4	1	1	4	3	1	0	1	0	1	0	1	1	0
4	2	1	4	3	0	1	0	1	1	0	0	1	0
4	3	1	4	3	1	0	1	0	0	1	1	0	1
5	1	1	5	3	1	0	0	1	0	1	0	1	0
5	2	1	5	3	0	0	0	0	1	0	1	0	0
5	3	1	5	3	1	0	1	0	0	1	1	0	1
6	1	1	6	3	0	1	1	0	0	1	1	0	0
6	2	1	6	3	0	0	0	1	0	1	0	0	0
6	3	1	6	3	1	0	1	0	0	1	1	0	1
7	1	1	7	3	1	0	0	0	0	0	0	0	0
7	2	1	7	3	0	0	1	0	0	0	0	1	0
7	3	1	7	3	1	0	1	0	0	1	1	0	1
8	1	1	8	3	0	1	0	0	0	1	0	1	0
8	2	1	8	3	0	1	0	1	0	0	1	0	0
8	3	1	8	3	1	0	1	0	0	1	1	0	1
9	1	2	1	3	1	0	0	1	0	1	1	0	0
9	2	2	1	3	0	1	0	0	0	1	1	1	0
9	3	2	1	3	1	0	1	0	0	1	1	0	1
10	1	2	2	3	0	1	1	0	0	1	0	0	0
10	2	2	2	3	0	0	0	1	0	1	1	1	0
10	3	2	2	3	1	0	1	0	0	1	1	0	1
11	1	2	3	3	0	1	0	1	1	0	0	0	0
11	2	2	3	3	0	1	0	1	0	0	1	1	0
11	3	2	3	3	1	0	1	0	0	1	1	0	1
12	1	2	4	3	1	0	1	0	1	0	1	1	0
12	2	2	4	3	0	1	0	1	1	0	0	1	0
12	3	2	4	3	1	0	1	0	0	1	1	0	1
13	1	2	5	3	1	0	0	1	0	1	0	1	0
13	2	2	5	3	0	0	0	0	1	0	1	0	0
13	3	2	5	3	1	0	1	0	0	1	1	0	1
14	1	2	6	3	0	1	1	0	0	1	1	0	0
14	2	2	6	3	0	0	0	1	0	1	0	0	0
14	3	2	6	3	1	0	1	0	0	1	1	0	1
15	1	2	7	3	1	0	0	0	0	0	0	0	0
15	2	2	7	3	0	0	1	0	0	0	0	1	0
15	3	2	7	3	1	0	1	0	0	1	1	0	1
16	1	2	8	3	0	1	0	0	0	1	0	1	0
16	2	2	8	3	0	1	0	1	0	0	1	0	0
16	3	2	8	3	1	0	1	0	0	1	1	0	1
17	1	3	1	1	1	0	0	1	0	1	1	0	1
17	2	3	1	1	0	1	0	0	0	1	1	1	0
17	3	3	1	1	1	0	1	0	0	1	1	0	0
18	1	3	2	3	0	1	1	0	0	1	0	0	0
18	2	3	2	3	0	0	0	1	0	1	1	1	0
18	3	3	2	3	1	0	1	0	0	1	1	0	1
19	1	3	3	3	0	1	0	1	1	0	0	0	0
19	2	3	3	3	0	1	0	1	0	0	1	1	0
19	3	3	3	3	1	0	1	0	0	1	1	0	1
20	1	3	4	3	1	0	1	0	1	0	1	1	0
20	2	3	4	3	0	1	0	1	1	0	0	1	0
20	3	3	4	3	1	0	1	0	0	1	1	0	1
21	1	3	5	3	1	0	0	1	0	1	0	1	0
21	2	3	5	3	0	0	0	0	1	0	1	0	0
21	3	3	5	3	1	0	1	0	0	1	1	0	1
22	1	3	6	3	0	1	1	0	0	1	1	0	0
22	2	3	6	3	0	0	0	1	0	1	0	0	0
22	3	3	6	3	1	0	1	0	0	1	1	0	1
23	1	3	7	1	1	0	0	0	0	0	0	0	1
23	2	3	7	1	0	0	1	0	0	0	0	1	0
23	3	3	7	1	1	0	1	0	0	1	1	0	0
24	1	3	8	3	0	1	0	0	0	1	0	1	0
24	2	3	8	3	0	1	0	1	0	0	1	0	0
24	3	3	8	3	1	0	1	0	0	1	1	0	1
25	1	4	1	2	1	0	0	1	0	1	1	0	0
25	2	4	1	2	0	1	0	0	0	1	1	1	1
25	3	4	1	2	1	0	1	0	0	1	1	0	0
26	1	4	2	2	0	1	1	0	0	1	0	0	0
26	2	4	2	2	0	0	0	1	0	1	1	1	1
26	3	4	2	2	1	0	1	0	0	1	1	0	0
27	1	4	3	2	0	1	0	1	1	0	0	0	0
27	2	4	3	2	0	1	0	1	0	0	1	1	1
27	3	4	3	2	1	0	1	0	0	1	1	0	0
28	1	4	4	3	1	0	1	0	1	0	1	1	0
28	2	4	4	3	0	1	0	1	1	0	0	1	0
28	3	4	4	3	1	0	1	0	0	1	1	0	1
29	1	4	5	2	1	0	0	1	0	1	0	1	0
29	2	4	5	2	0	0	0	0	1	0	1	0	1
29	3	4	5	2	1	0	1	0	0	1	1	0	0
30	1	4	6	1	0	1	1	0	0	1	1	0	1
30	2	4	6	1	0	0	0	1	0	1	0	0	0
30	3	4	6	1	1	0	1	0	0	1	1	0	0
31	1	4	7	3	1	0	0	0	0	0	0	0	0
31	2	4	7	3	0	0	1	0	0	0	0	1	0
31	3	4	7	3	1	0	1	0	0	1	1	0	1
32	1	4	8	2	0	1	0	0	0	1	0	1	0
32	2	4	8	2	0	1	0	1	0	0	1	0	1
32	3	4	8	2	1	0	1	0	0	1	1	0	0
33	1	5	1	2	1	0	0	1	0	1	1	0	0
33	2	5	1	2	0	1	0	0	0	1	1	1	1
33	3	5	1	2	1	0	1	0	0	1	1	0	0
34	1	5	2	2	0	1	1	0	0	1	0	0	0
34	2	5	2	2	0	0	0	1	0	1	1	1	1
34	3	5	2	2	1	0	1	0	0	1	1	0	0
35	1	5	3	1	0	1	0	1	1	0	0	0	1
35	2	5	3	1	0	1	0	1	0	0	1	1	0
35	3	5	3	1	1	0	1	0	0	1	1	0	0
36	1	5	4	1	1	0	1	0	1	0	1	1	1
